# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs/ebola_delphy.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs/ebola_delphy.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-out-beast-xml beast2_run/ebola.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
14800000	-22771.9	-26690.5	3918.54	-26690.5	0.266896	0.00255698	8.02394	158.649	0.0729257	8.67946	0.32428	0.214727	0.19423	0.266763
15000000	-22777.5	-26683.5	3906.01	-26683.5	0.292259	0.0026302	12.1598	146.556	0.067387	1.25596	0.32309	0.210493	0.201015	0.265402
15200000	-22759.8	-26678.6	3918.83	-26678.6	0.283469	0.00336752	14.511	159.513	0.0538378	1.37249	0.319832	0.21396	0.195714	0.270494
15400000	-22763.6	-26681.3	3917.68	-26681.3	0.287264	0.00269185	6.68007	157.026	0.0576682	1.42257	0.316703	0.212992	0.19553	0.274774
15600000	-22770.7	-26679.3	3908.6	-26679.3	0.272311	0.00293836	7.46995	148.295	0.0671815	2.06494	0.318547	0.214	0.19737	0.270084
15800000	-22817.2	-26689.5	3872.24	-26689.5	0.288341	0.00203495	14.4354	113.961	0.115848	9.8934	0.31966	0.211435	0.196656	0.272249
16000000	-22830.9	-26706.7	3875.81	-26706.7	0.290155	0.00250674	8.69002	115.842	0.0751441	-1.15691	0.316426	0.214714	0.199072	0.269787
16200000	-22787.4	-26696.5	3909.16	-26696.5	0.305723	0.00237794	5.51398	148.25	0.0571941	2.71715	0.324473	0.212524	0.194729	0.268274
16400000	-22780	-26683.1	3903.11	-26683.1	0.284174	0.00234485	7.39239	142.856	0.0631017	6.22535	0.317902	0.216784	0.199038	0.266275
16600000	-22822.5	-26694.4	3871.97	-26694.4	0.300968	0.00229995	9.99058	112.649	0.111416	1.29274	0.314528	0.215194	0.194886	0.275392
16800000	-22791.9	-26685.7	3893.82	-26685.7	0.288727	0.00312246	10.0723	134.375	0.0828296	6.19082	0.318352	0.216232	0.198462	0.266954
17000000	-22793.8	-26688.4	3894.63	-26688.4	0.302978	0.00235648	4.50896	133.85	0.0791561	5.33801	0.319661	0.216133	0.196336	0.26787
17200000	-22797.6	-26688.9	3891.3	-26688.9	0.274497	0.00269544	22.0941	133.599	0.0893425	6.85853	0.313797	0.219557	0.199425	0.267221
17400000	-22735.4	-26672.6	3937.16	-26672.6	0.291118	0.00321507	11.1684	177.399	0.0521871	4.63252	0.325738	0.211872	0.195322	0.267068
17600000	-22784	-26684.3	3900.28	-26684.3	0.286224	0.00229266	7.04847	139.663	0.0548441	1.6518	0.319399	0.210477	0.197425	0.272698
17800000	-22773.9	-26680.1	3906.28	-26680.1	0.278942	0.002814	7.12915	146.311	0.0785293	9.9558	0.316084	0.2176	0.197167	0.269148
18000000	-22794.8	-26689.2	3894.44	-26689.2	0.288923	0.00286952	5.27256	133.846	0.0804915	4.03219	0.316182	0.217208	0.199077	0.267533
18200000	-22906	-26716.3	3810.36	-26716.3	0.295821	0.0015507	10.7414	52.2643	0.281342	6.37128	0.323242	0.215987	0.192639	0.268131
18400000	-22873.4	-26708.4	3835.02	-26708.4	0.331454	0.00156002	11.2696	76.5743	0.185645	5.50058	0.323531	0.209063	0.196257	0.271148
18600000	-22810.6	-26688.6	3878	-26688.6	0.271527	0.0021248	6.80299	118.646	0.163961	8.51047	0.316414	0.211433	0.199717	0.272437
18800000	-22791.7	-26686.8	3895.06	-26686.8	0.284589	0.00302083	10.4344	135.93	0.0951695	9.3414	0.320613	0.21389	0.197314	0.268183
19000000	-22792.6	-26685.5	3892.97	-26685.5	0.259087	0.00244934	13.3582	134.609	0.111771	13.3817	0.324859	0.209136	0.194827	0.271177
19200000	-22830.3	-26696	3865.75	-26696	0.315604	0.00157773	5.80994	106.008	0.142794	8.29535	0.320866	0.213847	0.195935	0.269352
19400000	-22831	-26695.6	3864.58	-26695.6	0.297309	0.00226754	5.68286	104.586	0.129109	4.61534	0.32024	0.212955	0.201582	0.265224
19600000	-22860.6	-26706.2	3845.62	-26706.2	0.360851	0.00156145	9.11277	86.9394	0.216853	5.53068	0.321411	0.214916	0.199805	0.263868
19800000	-22816.5	-26689.8	3873.25	-26689.8	0.258532	0.00215039	10.8109	115.083	0.179774	17.5391	0.315868	0.218489	0.199133	0.266511
20000000	-22856	-26706.9	3850.85	-26706.9	0.30008	0.00149839	6.19835	91.2292	0.161698	5.16145	0.317983	0.214083	0.202475	0.265459
20200000	-22858.4	-26704.4	3845.98	-26704.4	0.313362	0.00163363	6.82702	86.0006	0.113548	-0.538094	0.318103	0.211926	0.198281	0.27169
20400000	-22870.2	-26704.5	3834.32	-26704.5	0.27778	0.0013808	10.5301	75.8462	0.186348	8.56847	0.320614	0.213341	0.199973	0.266071
20600000	-22806.5	-26698.2	3891.64	-26698.2	0.336056	0.00201982	5.15509	130.821	0.0751141	0.180654	0.319536	0.212392	0.202005	0.266067
20800000	-22815.3	-26693.7	3878.42	-26693.7	0.301606	0.00200904	12.2023	119.455	0.105721	2.16272	0.316058	0.218264	0.199099	0.266578
21000000	-22788.8	-26691	3902.24	-26691	0.300225	0.00223928	3.52691	140.705	0.0588451	0.852398	0.319961	0.215808	0.195627	0.268604
21200000	-22776.8	-26690.7	3913.95	-26690.7	0.283638	0.00300729	16.3905	155.197	0.072409	1.50046	0.324376	0.214695	0.19439	0.266539
21400000	-22794.6	-26686.1	3891.53	-26686.1	0.259284	0.00193803	9.51818	132.28	0.107089	7.35334	0.316795	0.213144	0.199823	0.270238
21600000	-22844.8	-26698.8	3853.96	-26698.8	0.285952	0.00164948	12.0517	95.1268	0.110485	5.39525	0.317115	0.212658	0.201911	0.268317
21800000	-22830.5	-26695.9	3865.31	-26695.9	0.298001	0.00197653	7.73525	105.853	0.131414	5.73118	0.321428	0.213201	0.198407	0.266964
22000000	-22822.3	-26695.4	3873.03	-26695.4	0.306403	0.00222833	5.85259	112.639	0.0925329	1.29584	0.320666	0.209102	0.201099	0.269134
22200000	-22770.6	-26680.4	3909.81	-26680.4	0.290357	0.00222932	14.6819	150.917	0.0718109	4.5687	0.321368	0.215331	0.19618	0.267121
22400000	-22786.8	-26682.6	3895.74	-26682.6	0.267927	0.00276645	9.17274	136.352	0.0977971	7.74326	0.322205	0.210382	0.196556	0.270858
22600000	-22702.8	-26664.3	3961.48	-26664.3	0.263689	0.00316118	8.40125	200.897	0.0386397	4.39585	0.31572	0.218904	0.198089	0.267288
22800000	-22707.8	-26663.5	3955.71	-26663.5	0.266747	0.00321705	7.94138	194.954	0.0340662	6.04522	0.32152	0.214687	0.197718	0.266075
23000000	-22751.3	-26678.6	3927.31	-26678.6	0.277388	0.00250031	7.28504	166.575	0.0488347	0.0417829	0.319826	0.220074	0.191091	0.269009
23200000	-22818.2	-26693.8	3875.58	-26693.8	0.297272	0.00186533	10.5713	116.295	0.0909392	5.2757	0.32413	0.210996	0.194479	0.270395
23400000	-22825.2	-26692.9	3867.78	-26692.9	0.278341	0.00177875	6.84702	108.383	0.147182	10.1127	0.31979	0.21807	0.196599	0.26554
23600000	-22837	-26696.4	3859.42	-26696.4	0.274999	0.00188799	7.59176	100.433	0.192103	9.33484	0.318539	0.213092	0.202879	0.26549
23800000	-22803.1	-26687.7	3884.62	-26687.7	0.281433	0.00240932	9.27914	125.482	0.118664	9.06106	0.322104	0.214363	0.197905	0.265628
24000000	-22798.2	-26687.4	3889.18	-26687.4	0.297749	0.0021511	6.39219	129.094	0.0940006	6.20201	0.316854	0.216241	0.198168	0.268737
24200000	-22746.5	-26675.1	3928.69	-26675.1	0.278822	0.00287874	6.62442	168.047	0.0529108	4.80964	0.323465	0.215498	0.19722	0.263817
24400000	-22813.4	-26691	3877.6	-26691	0.304169	0.00215061	6.71962	117.694	0.11288	3.57149	0.318404	0.213684	0.198143	0.269768
24600000	-22820.7	-26692	3871.35	-26692	0.267716	0.0022245	8.57406	112.033	0.119793	7.37839	0.319013	0.21229	0.198664	0.270033
24800000	-22804.4	-26688	3883.68	-26688	0.290235	0.00230977	11.3079	124.899	0.122413	7.6475	0.324894	0.21195	0.198731	0.264425
25000000	-22780.9	-26690.6	3909.76	-26690.6	0.262779	0.0027086	8.72766	150.188	0.0858301	8.88428	0.320906	0.216016	0.191565	0.271513
25200000	-22782.7	-26682.2	3899.52	-26682.2	0.261833	0.00238988	7.06964	139.821	0.10633	9.29189	0.313038	0.217304	0.19798	0.271678
25400000	-22743.5	-26674.1	3930.53	-26674.1	0.27371	0.0030839	8.21971	170.175	0.0553925	1.43886	0.323276	0.213456	0.194036	0.269232
25600000	-22768.2	-26677.8	3909.57	-26677.8	0.263837	0.00310449	5.58217	149.033	0.0720669	6.58346	0.320171	0.213364	0.196841	0.269623
25800000	-22790	-26684.7	3894.68	-26684.7	0.30195	0.00242928	7.8758	134.709	0.0831584	3.20402	0.321108	0.212473	0.197936	0.268484
26000000	-22802	-26686.4	3884.42	-26686.4	0.273637	0.00224407	10.0582	125.465	0.133064	6.48878	0.317633	0.215313	0.199449	0.267605
26200000	-22788.6	-26687.3	3898.66	-26687.3	0.277467	0.00226376	5.45592	137.941	0.0723143	2.086	0.318978	0.214217	0.197816	0.26899
26400000	-22804.5	-26697.1	3892.59	-26697.1	0.270332	0.00290985	13.5532	134.05	0.106226	8.54782	0.322219	0.210944	0.197908	0.268929
26600000	-22832.8	-26701.8	3868.97	-26701.8	0.296507	0.00273935	7.81604	108.921	0.0819013	1.42233	0.323284	0.218443	0.197575	0.260698
26800000	-22845.1	-26700.1	3855.01	-26700.1	0.299113	0.00154045	7.66422	95.3901	0.121804	3.58124	0.319827	0.211236	0.199227	0.269709
27000000	-22819.6	-26692.5	3872.86	-26692.5	0.30609	0.00218968	6.5491	113.335	0.146122	8.74276	0.319901	0.21178	0.200622	0.267698
27200000	-22875.6	-26708.7	3833.18	-26708.7	0.324315	0.00185339	6.70729	73.7414	0.183002	3.25968	0.319452	0.211089	0.200482	0.268977
27400000	-22815.3	-26696.6	3881.36	-26696.6	0.298256	0.00184082	9.23451	121.615	0.0848789	0.975249	0.317382	0.208167	0.203667	0.270783
27600000	-22860.4	-26707.8	3847.48	-26707.8	0.360874	0.00184219	9.32722	88.1659	0.125427	1.63774	0.314295	0.217729	0.198925	0.269052
27800000	-22864.8	-26708.5	3843.65	-26708.5	0.356469	0.00187638	8.73714	84.3869	0.143975	2.45479	0.32084	0.2125	0.196099	0.27056
28000000	-22832.6	-26694.6	3862.05	-26694.6	0.261163	0.00165284	9.20021	103.779	0.233662	15.3771	0.315127	0.215813	0.201337	0.267723
28200000	-22823.7	-26695.9	3872.28	-26695.9	0.286601	0.00213765	3.67702	112.066	0.16201	8.68911	0.318635	0.214364	0.197759	0.269242
28400000	-22800.1	-26687.2	3887.06	-26687.2	0.291046	0.00262381	9.94401	127.615	0.093825	2.83704	0.318991	0.214272	0.200517	0.26622
28600000	-22801.5	-26687.8	3886.29	-26687.8	0.28563	0.0019913	9.49118	126.901	0.0957092	6.77143	0.315891	0.21493	0.20056	0.268618
28800000	-22847.9	-26708.5	3860.67	-26708.5	0.259272	0.00171966	20.0802	103.451	0.157594	11.1525	0.320514	0.218265	0.196915	0.264306
29000000	-22844.1	-26708.8	3864.64	-26708.8	0.289665	0.00182022	9.00082	105.338	0.121102	5.0636	0.312664	0.215122	0.20058	0.271634
29200000	-22800	-26688.5	3888.46	-26688.5	0.290365	0.00221522	12.5349	129.291	0.0788236	3.32305	0.321375	0.213665	0.194159	0.270801
29400000	-22777.4	-26682.7	3905.35	-26682.7	0.288987	0.00198834	10.0775	145.593	0.0628614	4.77403	0.314859	0.215591	0.201838	0.267712
29600000	-22774.2	-26682.3	3908.03	-26682.3	0.287064	0.00305556	14.6482	149.191	0.068632	7.77106	0.320218	0.216034	0.194731	0.269017
29800000	-22772.6	-26682.9	3910.22	-26682.9	0.298641	0.0021314	5.91303	149.347	0.0577229	0.437351	0.323946	0.213089	0.196532	0.266434
30000000	-22747.6	-26675.9	3928.26	-26675.9	0.297048	0.00281866	5.01389	166.956	0.0467428	1.16534	0.315775	0.216836	0.197422	0.269967
30200000	-22791.1	-26687.6	3896.5	-26687.6	0.279858	0.00200537	12.6385	137.471	0.0797158	6.77589	0.316232	0.217542	0.203352	0.262874
30400000	-22820.6	-26711.3	3890.65	-26711.3	0.276509	0.00229029	9.85154	131.223	0.08919	5.7014	0.317929	0.21745	0.198268	0.266353
30600000	-22752.9	-26677.2	3924.33	-26677.2	0.267799	0.0027458	4.61705	163.28	0.0617676	3.74731	0.321434	0.210466	0.195398	0.272702
30800000	-22818.1	-26694.5	3876.32	-26694.5	0.358203	0.00182238	9.83372	116.807	0.0880745	3.25344	0.318934	0.217095	0.198869	0.265102
31000000	-22856.9	-26707.8	3850.95	-26707.8	0.335075	0.0017716	4.1988	90.6972	0.146925	5.44632	0.31335	0.210474	0.20208	0.274096
31200000	-22792.5	-26684.7	3892.2	-26684.7	0.267465	0.00285388	13.5751	133.467	0.0892392	7.84329	0.318887	0.216022	0.196336	0.268755
31400000	-22833.4	-26694.6	3861.22	-26694.6	0.267219	0.00188068	9.14697	102.793	0.209593	14.211	0.31988	0.213301	0.195925	0.270893
31600000	-22807.7	-26688.1	3880.36	-26688.1	0.274806	0.00208825	7.67158	120.841	0.119349	7.25937	0.322217	0.210912	0.194946	0.271925
31800000	-22798.3	-26689.2	3890.9	-26689.2	0.312241	0.00223812	7.10438	131.128	0.105584	7.14712	0.323466	0.218167	0.195997	0.26237
32000000	-22789.5	-26684.6	3895.05	-26684.6	0.291437	0.00245769	6.6683	134.697	0.0789753	1.19042	0.320002	0.212966	0.198058	0.268973
32200000	-22777.6	-26681.2	3903.68	-26681.2	0.294181	0.00272764	9.82163	144.137	0.0778334	6.31581	0.319464	0.214024	0.196782	0.26973
32400000	-22743.6	-26673.1	3929.5	-26673.1	0.267015	0.00321932	8.03297	169.23	0.0526768	6.82806	0.321262	0.209466	0.199539	0.269733
32600000	-22735	-26672.7	3937.75	-26672.7	0.267374	0.00272083	13.86	178.377	0.0477892	6.16073	0.315695	0.218981	0.19398	0.271344
32800000	-22793.2	-26686.3	3893.19	-26686.3	0.267772	0.00200268	10.4561	134.218	0.108641	9.98685	0.3202	0.211206	0.194511	0.274083
33000000	-22811.7	-26692.9	3881.21	-26692.9	0.317967	0.00239679	5.5537	120.902	0.0992187	4.25253	0.318828	0.211134	0.20024	0.269798
33200000	-22804.7	-26691.5	3886.78	-26691.5	0.294589	0.00205837	13.5316	128.329	0.117785	8.14923	0.328509	0.209789	0.193085	0.268617
33400000	-22805	-26688.3	3883.35	-26688.3	0.294849	0.00255481	7.56554	123.232	0.0832253	0.618879	0.319567	0.212424	0.198812	0.269197
33600000	-22854.8	-26702.5	3847.72	-26702.5	0.283096	0.00161608	9.19466	89.1275	0.20535	9.31347	0.315007	0.22097	0.198269	0.265754
33800000	-22846	-26702.9	3856.83	-26702.9	0.290219	0.00152648	9.08695	97.5211	0.110459	7.13071	0.319294	0.214937	0.18883	0.276939
34000000	-22824.4	-26694.7	3870.24	-26694.7	0.317501	0.00207889	6.81518	110.669	0.135433	7.65818	0.321539	0.215476	0.194628	0.268357
34200000	-22854.3	-26705.5	3851.16	-26705.5	0.285384	0.00173495	8.92712	92.121	0.154117	6.14952	0.30699	0.216171	0.20252	0.27432
