# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs/ebola_delphy.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs/ebola_delphy.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-out-beast-xml beast2_run/ebola.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-24331	-27745.9	3414.9	-27745.9	1.0651	0.001	1	-343.778	2.73973	0	0.319373	0.213777	0.197901	0.268949
200000	-23148.6	-26796.2	3647.55	-26796.2	0.668251	0.000333892	12.4694	-108.1	2.52854	4.96463	0.3171	0.217182	0.198243	0.267476
400000	-23020.3	-26757.1	3736.84	-26757.1	0.519376	0.000662842	9.52624	-20.8932	0.570625	2.41589	0.320867	0.210536	0.194483	0.274114
600000	-22879.6	-26708.9	3829.27	-26708.9	0.279986	0.00117676	11.1687	71.3151	0.271584	9.30732	0.321011	0.212947	0.197177	0.268865
800000	-22813.4	-26690.3	3876.84	-26690.3	0.262439	0.00182731	9.4873	117.813	0.119943	10.7834	0.321676	0.210886	0.198602	0.268836
1000000	-22741.9	-26673.2	3931.34	-26673.2	0.268506	0.00327575	14.0107	171.694	0.0430733	0.240694	0.321491	0.210078	0.198411	0.27002
1200000	-22782.1	-26686.1	3904	-26686.1	0.297009	0.0023364	12.6481	144.716	0.0703385	2.53859	0.320974	0.215615	0.199491	0.26392
1400000	-22810.2	-26688.4	3878.18	-26688.4	0.269296	0.00236542	9.08511	119.034	0.126538	7.90567	0.319694	0.211166	0.198111	0.271028
1600000	-22747.7	-26674.9	3927.2	-26674.9	0.285462	0.00255718	16.9129	168.238	0.0484012	5.55706	0.31715	0.2158	0.197518	0.269532
1800000	-22716	-26666.3	3950.32	-26666.3	0.25712	0.00321542	8.13828	190.266	0.0533962	12.4215	0.313949	0.211395	0.201225	0.273431
2000000	-22722.4	-26670	3947.57	-26670	0.286236	0.00336395	11.9438	187.786	0.045511	4.23187	0.317332	0.215125	0.195737	0.271806
2200000	-22771.3	-26682.2	3910.92	-26682.2	0.290762	0.00259323	7.55333	150.284	0.049255	-0.761488	0.321761	0.208148	0.201036	0.269054
2400000	-22762.6	-26680.9	3918.22	-26680.9	0.29768	0.00279167	8.21508	157.72	0.0476005	1.83863	0.323183	0.214195	0.197174	0.265448
2600000	-22738.2	-26672.2	3933.93	-26672.2	0.283026	0.00312735	10.2603	173.643	0.0387028	-2.44473	0.317685	0.215133	0.199892	0.26729
2800000	-22763.5	-26678.6	3915.06	-26678.6	0.281559	0.00240331	8.59423	154.929	0.0630636	2.03181	0.323375	0.211061	0.197754	0.26781
3000000	-22774	-26684.6	3910.55	-26684.6	0.29448	0.00219293	11.561	150.815	0.0567196	0.794127	0.319923	0.218162	0.195775	0.266139
3200000	-22766.9	-26691.1	3924.2	-26691.1	0.266343	0.00290444	4.12319	163.372	0.077996	8.11427	0.319807	0.208654	0.197392	0.274148
3400000	-22790.7	-26685.3	3894.6	-26685.3	0.284949	0.00267736	11.4283	135.59	0.0927395	8.76804	0.317227	0.216317	0.195894	0.270562
3600000	-22777.5	-26683.6	3906.15	-26683.6	0.287996	0.00233145	12.6852	146.691	0.0619084	1.14885	0.319848	0.21777	0.199105	0.263277
3800000	-22748.6	-26685.4	3936.78	-26685.4	0.278942	0.00278143	6.45789	175.646	0.0385956	0.910762	0.321615	0.211852	0.196263	0.27027
4000000	-22795.4	-26689.8	3894.37	-26689.8	0.281867	0.00207532	4.81129	133.744	0.0873595	4.56379	0.322339	0.215915	0.198087	0.263659
4200000	-22806.1	-26692.4	3886.3	-26692.4	0.310157	0.00182396	8.45187	126.325	0.0770299	-1.69168	0.319144	0.21096	0.199444	0.270452
4400000	-22752.6	-26672.7	3920.09	-26672.7	0.269177	0.00280694	11.7351	160.987	0.0840287	7.18865	0.31539	0.218995	0.199119	0.266496
4600000	-22869.5	-26708	3838.48	-26708	0.333307	0.00143563	8.28328	79.3862	0.174075	4.67671	0.321997	0.212399	0.195144	0.270461
4800000	-22834.3	-26700.4	3866.09	-26700.4	0.311225	0.00226971	7.32688	105.946	0.0843108	1.0357	0.319913	0.215309	0.199666	0.265112
5000000	-22812.8	-26695.4	3882.6	-26695.4	0.297598	0.0024293	10.2503	123.117	0.087311	2.15621	0.318691	0.220887	0.19158	0.268842
5200000	-22793.7	-26684.4	3890.69	-26684.4	0.270747	0.00225165	10.1935	131.565	0.106666	7.56889	0.317645	0.215675	0.200994	0.265686
5400000	-22822.7	-26695.2	3872.56	-26695.2	0.307992	0.00216038	12.1247	113.202	0.0763401	0.55016	0.317967	0.212656	0.204741	0.264636
5600000	-22908.1	-26721.4	3813.28	-26721.4	0.340505	0.00144959	9.75345	54.4789	0.179014	3.93684	0.323256	0.20826	0.19931	0.269173
5800000	-22847.2	-26698.4	3851.23	-26698.4	0.315031	0.00162626	8.25959	91.8546	0.119115	7.97496	0.314875	0.214658	0.198834	0.271632
6000000	-22780.2	-26684.3	3904.09	-26684.3	0.291808	0.00219685	11.4945	144.395	0.0596855	-0.626811	0.319839	0.214133	0.19959	0.266438
6200000	-22763.2	-26679.4	3916.16	-26679.4	0.280572	0.00273619	16.4784	156.986	0.0477738	1.21103	0.318345	0.214727	0.199586	0.267342
6400000	-22828	-26705.8	3877.81	-26705.8	0.282032	0.00243769	7.268	117.858	0.0953419	3.66104	0.317835	0.212842	0.19625	0.273073
6600000	-22827.9	-26693	3865.17	-26693	0.310091	0.00215847	7.75578	106.071	0.184768	6.2141	0.320086	0.213249	0.197753	0.268911
6800000	-22770	-26680.9	3910.85	-26680.9	0.304463	0.0027155	6.05514	150.317	0.0652723	6.06896	0.31757	0.212859	0.199754	0.269818
7000000	-22826.1	-26695.4	3869.28	-26695.4	0.309678	0.00202611	8.15269	109.554	0.0995171	3.40753	0.319168	0.21474	0.199138	0.266954
7200000	-22792.4	-26683.4	3891.03	-26683.4	0.264922	0.00237593	11.3428	131.543	0.0648767	5.23761	0.316815	0.211364	0.197146	0.274675
7400000	-22796.3	-26689.1	3892.85	-26689.1	0.294649	0.00283027	16.4187	134.192	0.0755153	3.22038	0.320454	0.216428	0.197404	0.265714
7600000	-22793.4	-26686.8	3893.39	-26686.8	0.267161	0.00331012	6.24089	133.191	0.0802807	8.62586	0.321234	0.215982	0.198544	0.264239
7800000	-22788.4	-26684.8	3896.43	-26684.8	0.271468	0.00296602	6.05096	136.263	0.0887222	7.86639	0.323839	0.217066	0.197143	0.261953
8000000	-22849.5	-26699.1	3849.62	-26699.1	0.267721	0.0017991	9.16695	91.2502	0.230339	12.9026	0.320359	0.215141	0.194556	0.269944
8200000	-22744.8	-26673.6	3928.84	-26673.6	0.270034	0.00261922	13.6767	169.429	0.0520666	3.04727	0.317744	0.214748	0.199553	0.267955
8400000	-22798.3	-26687.4	3889.06	-26687.4	0.269086	0.00237357	6.53566	129.3	0.110618	10.1704	0.324696	0.207443	0.198745	0.269116
8600000	-22838.3	-26695.2	3856.87	-26695.2	0.272543	0.00203381	8.95193	97.7164	0.136798	6.19111	0.319686	0.212014	0.198687	0.269613
8800000	-22746.9	-26674.4	3927.52	-26674.4	0.279358	0.00319667	10.0631	167.683	0.0569838	5.63987	0.31663	0.21284	0.196864	0.273666
9000000	-22820.2	-26693.8	3873.53	-26693.8	0.300415	0.00195467	5.91712	112.912	0.0755049	-0.15052	0.323623	0.21017	0.198037	0.26817
9200000	-22815.6	-26694.5	3878.93	-26694.5	0.322172	0.00227797	7.93471	118.826	0.0732591	-2.5709	0.317698	0.216228	0.197039	0.269035
9400000	-22813.3	-26693.2	3879.88	-26693.2	0.281641	0.00186522	5.08881	119.644	0.110535	6.85696	0.317811	0.219548	0.197922	0.264718
9600000	-22772.1	-26681.5	3909.37	-26681.5	0.272392	0.00280513	6.93353	148.924	0.0610794	4.4403	0.315806	0.214804	0.198559	0.270831
9800000	-22823.3	-26696.1	3872.79	-26696.1	0.310623	0.00194535	11.5351	113.718	0.097712	4.59401	0.320021	0.214225	0.195138	0.270616
10000000	-22787.8	-26683.1	3895.31	-26683.1	0.271494	0.00240833	9.43063	135.753	0.0820357	6.471	0.315552	0.216319	0.196872	0.271257
10200000	-22744.1	-26678.8	3934.67	-26678.8	0.324549	0.00268758	16.7615	175.475	0.0447024	1.36548	0.321855	0.21541	0.19531	0.267425
10400000	-22805.1	-26703.9	3898.82	-26703.9	0.335845	0.00187519	12.0547	139.31	0.065569	0.757915	0.317403	0.212405	0.198902	0.27129
10600000	-22855.2	-26705.2	3850.06	-26705.2	0.302946	0.00151491	6.29184	90.4431	0.163274	4.18386	0.31462	0.218515	0.194845	0.27202
10800000	-22910.2	-26718.9	3808.74	-26718.9	0.332817	0.00148573	10.6449	50.6355	0.278891	6.64062	0.319907	0.213151	0.199435	0.267508
11000000	-22795.7	-26685.1	3889.47	-26685.1	0.283421	0.00295444	8.48229	130.222	0.125504	8.68745	0.320593	0.211844	0.197164	0.270399
11200000	-22821.7	-26692.2	3870.44	-26692.2	0.265637	0.0024739	4.8752	110.622	0.149342	12.1061	0.319739	0.216337	0.1973	0.266624
11400000	-22832	-26694	3862	-26694	0.284776	0.00178931	8.70678	103.079	0.1603	9.89561	0.319045	0.21156	0.200559	0.268836
11600000	-22795.5	-26686.5	3890.99	-26686.5	0.288319	0.00187472	8.64914	131.152	0.0824042	2.51647	0.323573	0.209692	0.197524	0.26921
11800000	-22810	-26691.5	3881.46	-26691.5	0.307498	0.00227627	7.03905	121.063	0.0715093	-0.330806	0.32052	0.214183	0.19796	0.267337
12000000	-22789.8	-26693.2	3903.39	-26693.2	0.268182	0.00309753	8.81536	143.684	0.0836944	4.92288	0.320115	0.216149	0.197203	0.266533
12200000	-22812.3	-26694.3	3882.04	-26694.3	0.269629	0.00205393	5.64004	121.896	0.111303	4.97849	0.317757	0.223606	0.197519	0.261118
12400000	-22819.2	-26692.1	3872.86	-26692.1	0.294261	0.00211938	6.05692	112.905	0.126858	3.50579	0.317646	0.213388	0.197629	0.271338
12600000	-22811.7	-26690	3878.27	-26690	0.275371	0.00238149	19.0902	120.197	0.0910322	5.15926	0.321214	0.214992	0.19699	0.266804
12800000	-22800.4	-26686.3	3885.93	-26686.3	0.271654	0.00240834	13.5131	126.865	0.0788105	1.79227	0.320365	0.212358	0.200507	0.26677
13000000	-22799.8	-26693.5	3893.62	-26693.5	0.271522	0.00174921	5.60818	132.96	0.0716106	2.78145	0.325034	0.20399	0.199075	0.271901
13200000	-22841.7	-26702.3	3860.54	-26702.3	0.315525	0.001952	6.30929	100.893	0.158632	4.17923	0.31658	0.214991	0.205126	0.263303
13400000	-22834	-26697	3862.95	-26697	0.280601	0.00205803	5.56201	103.535	0.184523	12.3406	0.316832	0.212406	0.201298	0.269464
13600000	-22833.1	-26695.6	3862.53	-26695.6	0.299219	0.00270893	6.92493	103.334	0.17976	9.65231	0.319187	0.217991	0.19607	0.266753
13800000	-22757.6	-26678.4	3920.8	-26678.4	0.287135	0.00331523	6.53647	160.495	0.0694805	7.46227	0.325304	0.211643	0.197014	0.26604
14000000	-22832.4	-26699.4	3866.99	-26699.4	0.348993	0.00180567	8.95726	107.593	0.123908	1.6354	0.319303	0.212414	0.197125	0.271158
14200000	-22775.6	-26682.9	3907.29	-26682.9	0.292853	0.00192653	7.81967	147.023	0.0598629	4.42594	0.318492	0.211294	0.197492	0.272721
14400000	-22776.5	-26683.4	3906.84	-26683.4	0.275872	0.00218994	8.18224	146.765	0.072876	1.81858	0.320779	0.212993	0.201335	0.264894
14600000	-22773.6	-26679.6	3905.93	-26679.6	0.268097	0.002928	10.4475	146.849	0.099191	9.48282	0.319421	0.209973	0.198723	0.271882
