# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/ebola_alpha.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
2000000	34615.2	-26694.7	61310	-26694.7	0.723842	0.00034618	0.121467	5.99237	-78.6808	1.60547	4.6761	0.318482	0.217955	0.198158	0.265404
2200000	-9018.76	-26663.1	17644.4	-26663.1	0.333594	0.000712959	0.195513	7.08311	7.12384	0.57692	8.09317	0.320533	0.215329	0.197894	0.266244
2400000	-24723.3	-26645	1921.72	-26645	0.312748	0.00235759	0.268995	5.62784	85.5177	0.175575	4.01663	0.316884	0.215586	0.201494	0.266036
2600000	-39607.3	-26647.8	-12959.5	-26647.8	0.271427	0.00244342	0.429982	7.98126	127.031	0.104557	5.12242	0.320348	0.210431	0.197088	0.272133
2800000	-45774.3	-26673.6	-19100.6	-26673.6	0.306956	0.00209941	0.896272	6.45938	99.5395	0.152749	4.18304	0.323049	0.210802	0.196231	0.269919
3000000	-45885.6	-26675.7	-19209.9	-26675.7	0.292544	0.00189485	0.957206	17.6775	91.4622	0.136216	5.60204	0.318243	0.213111	0.19449	0.274155
3200000	-45582.1	-26681.2	-18900.8	-26681.2	0.373597	0.00155114	1.19726	9.1594	99.7664	0.124779	3.97825	0.320419	0.212095	0.200732	0.266754
3400000	-45798.9	-26677.3	-19121.7	-26677.3	0.298319	0.00183905	0.973995	9.27826	98.172	0.162226	8.00271	0.318516	0.213366	0.196058	0.27206
3600000	-45191.7	-26652.1	-18539.6	-26652.1	0.299722	0.00215594	0.704929	8.84227	117.847	0.116895	5.45029	0.321928	0.213504	0.199102	0.265466
3800000	-41130	-26663.8	-14466.2	-26663.8	0.381358	0.00167114	0.469726	5.73924	124.637	0.0609669	-0.617155	0.320296	0.212386	0.206017	0.261302
4000000	30985.5	-26612.8	57598.3	-26612.8	0.284164	0.00167972	0.125112	8.05422	96.5091	0.17156	9.0157	0.319859	0.211756	0.200084	0.268302
4200000	21652.9	-26592.5	48245.5	-26592.5	0.258197	0.00236917	0.137515	8.7612	127.207	0.139879	13.0281	0.318326	0.21194	0.199583	0.270151
4400000	-38395.8	-26636.3	-11759.6	-26636.3	0.276138	0.00228434	0.404672	7.02917	108.792	0.153484	9.22385	0.322357	0.210077	0.197693	0.269873
4600000	-44045.2	-26666.9	-17378.3	-26666.9	0.26698	0.00319583	1.85069	14.9832	168.821	0.0684478	8.19075	0.324935	0.215031	0.192133	0.267901
4800000	-39722.8	-26686.8	-13036.1	-26686.8	0.273284	0.00218603	3.5935	9.74393	133.846	0.0604612	3.34328	0.319213	0.214208	0.198329	0.26825
5000000	-36295	-26686	-9609.07	-26686	0.274721	0.0017088	5.66284	10.135	117.682	0.106038	6.99112	0.318477	0.21332	0.19936	0.268843
5200000	-43143.3	-26688	-16455.3	-26688	0.26447	0.00189919	2.26554	12.3787	106.3	0.153703	11.5585	0.315397	0.212498	0.198026	0.274079
5400000	-45628	-26673.3	-18954.7	-26673.3	0.29952	0.00204245	1.24328	8.05915	95.3486	0.125577	5.12424	0.313546	0.216482	0.20017	0.269803
5600000	-40546.6	-26691.9	-13854.8	-26691.9	0.280603	0.00168808	3.37886	7.3124	77.1116	0.245533	10.2462	0.318957	0.209495	0.199894	0.271654
5800000	-40929.1	-26664.7	-14264.4	-26664.7	0.29496	0.00190002	0.468752	5.15088	104.725	0.163933	7.53492	0.322102	0.209761	0.20247	0.265667
6000000	-45369.5	-26679.5	-18690	-26679.5	0.318507	0.00234008	1.395	15.6472	136.423	0.0641756	0.878276	0.320001	0.213773	0.19621	0.270016
