# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/ebola_alpha.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
284000000	-42282.4	-26683.8	-15598.7	-26683.8	0.263506	0.00233304	2.62515	6.38377	108.811	0.16008	10.031	0.318706	0.215501	0.198169	0.267624
284200000	-38929.1	-26676.2	-12252.8	-26676.2	0.272574	0.00227777	4.12534	11.3687	132.971	0.0871298	3.92793	0.321613	0.209721	0.198013	0.270652
284400000	-44571.7	-26651.2	-17920.5	-26651.2	0.268967	0.0033944	1.67498	6.89856	177.462	0.0662713	7.06902	0.318373	0.210151	0.19876	0.272717
284600000	-44459.2	-26628.1	-17831.1	-26628.1	0.264094	0.00248024	0.63663	6.20904	146.256	0.066718	4.44799	0.318847	0.213185	0.199723	0.268245
284800000	-45684.8	-26668.6	-19016.2	-26668.6	0.284234	0.00198161	1.05135	5.67398	108.507	0.138339	7.15898	0.318563	0.20936	0.19906	0.273017
285000000	-42913.2	-26676.7	-16236.5	-26676.7	0.275109	0.00271983	2.34314	15.7794	146.478	0.0727677	8.96486	0.321512	0.207884	0.200944	0.26966
285200000	-42270.2	-26683.3	-15586.9	-26683.3	0.278242	0.00201271	2.61489	5.65486	115.528	0.14183	7.37657	0.314764	0.214434	0.198832	0.27197
285400000	-41426.8	-26694.6	-14732.2	-26694.6	0.274532	0.00166049	2.91638	7.25362	88.7582	0.157929	8.69276	0.323301	0.210751	0.201664	0.264285
285600000	-43929.8	-26681.1	-17248.7	-26681.1	0.317173	0.00185455	1.99595	8.77119	136.602	0.0717329	2.52562	0.322824	0.215436	0.195496	0.266244
285800000	-42537.5	-26694.8	-15842.7	-26694.8	0.273557	0.00219064	2.46415	5.7798	117.827	0.141615	11.5415	0.323007	0.213618	0.195316	0.268059
286000000	-45494	-26673.6	-18820.4	-26673.6	0.285419	0.00204439	1.42429	7.30904	121.253	0.11695	6.72835	0.317063	0.218942	0.20003	0.263965
286200000	-45912.7	-26667.7	-19245	-26667.7	0.267125	0.00167673	0.934725	11.5895	111.911	0.185976	11.7036	0.322278	0.215012	0.191908	0.270803
286400000	-32124.4	-26650.8	-5473.59	-26650.8	0.310202	0.00181966	0.324493	13.6995	100.517	0.128926	3.88208	0.314221	0.214412	0.201281	0.270086
286600000	-25635.5	-26635	999.589	-26635	0.2693	0.00220082	0.263941	8.29953	129.233	0.0895286	3.88455	0.317174	0.216314	0.199305	0.267207
286800000	-13639	-26636.5	12997.4	-26636.5	0.272082	0.00219875	0.208653	16.1815	123.263	0.117802	9.92095	0.317315	0.220478	0.195991	0.266216
287000000	-23189.1	-26628.3	3439.13	-26628.3	0.268188	0.00246945	0.260003	6.23653	139.977	0.0834491	6.40067	0.315682	0.21364	0.198552	0.272125
287200000	-45911.2	-26667.1	-19244.1	-26667.1	0.260653	0.00247251	0.879821	6.29413	144.185	0.0985002	11.2261	0.323943	0.208819	0.200255	0.266983
287400000	-45899.8	-26670.3	-19229.5	-26670.3	0.297619	0.00180687	0.834666	10.4732	91.509	0.189469	9.22375	0.317062	0.212924	0.196459	0.273555
287600000	-43565.2	-26664.2	-16901	-26664.2	0.260113	0.00198942	0.574432	13.8349	90.7134	0.276081	13.3553	0.321901	0.210951	0.195647	0.2715
287800000	-42795.5	-26657.7	-16137.7	-26657.7	0.317079	0.00229271	0.538162	6.97473	134.905	0.0942051	7.14101	0.317177	0.210476	0.20038	0.271967
288000000	-43536.2	-26681.4	-16854.9	-26681.4	0.295013	0.00270797	2.12785	5.55208	160.257	0.0654339	3.47752	0.318286	0.215515	0.197991	0.268207
288200000	-46084.4	-26682.2	-19402.2	-26682.2	0.285507	0.00200062	1.03933	15.2417	111.552	0.10132	4.27511	0.315293	0.213352	0.200183	0.271172
288400000	-30352.9	-26637.1	-3715.81	-26637.1	0.275924	0.00215782	0.304169	10.2124	115.195	0.124344	8.50786	0.314011	0.220259	0.193083	0.272647
288600000	35534.1	-26606.1	62140.2	-26606.1	0.343409	0.00142587	0.120643	6.18373	91.7213	0.124431	0.307552	0.318726	0.218081	0.197371	0.265822
288800000	-45892.4	-26687.6	-19204.8	-26687.6	0.293775	0.00210541	0.876333	7.26521	89.6571	0.163579	3.71511	0.319415	0.217595	0.197168	0.265823
289000000	-44107.1	-26699.2	-17408	-26699.2	0.310356	0.00172401	1.90943	7.22035	99.4808	0.133873	5.84337	0.32121	0.208852	0.198461	0.271477
289200000	-42089.4	-26656.4	-15432.9	-26656.4	0.324822	0.00192525	0.511108	9.31402	93.7216	0.158832	3.9779	0.318977	0.209568	0.200213	0.271243
289400000	-39421.8	-26650	-12771.8	-26650	0.269571	0.00203924	0.436474	6.43692	100.288	0.175255	12.1873	0.318029	0.213066	0.198808	0.270098
289600000	-44137.5	-26674.5	-17463	-26674.5	0.275597	0.00249999	1.89147	10.0658	108.124	0.121819	9.67184	0.320302	0.214833	0.200712	0.264153
289800000	-42980.5	-26692.2	-16288.3	-26692.2	0.291842	0.00202058	2.3281	6.52955	99.2747	0.142806	5.47746	0.316	0.220021	0.197572	0.266407
290000000	-44987.3	-26674	-18313.3	-26674	0.344172	0.00174297	1.49798	7.21822	137.884	0.0800041	2.83061	0.323593	0.212212	0.198711	0.265484
290200000	-43199.6	-26656.8	-16542.8	-26656.8	0.29654	0.00184572	0.549749	9.89833	117.155	0.117401	4.63662	0.324649	0.210313	0.199343	0.265695
290400000	-41263.4	-26666.1	-14597.3	-26666.1	0.290495	0.00180775	0.466776	8.60697	97.5043	0.104832	4.06161	0.318187	0.211005	0.200306	0.270502
290600000	-45218.1	-26665.6	-18552.5	-26665.6	0.277539	0.00173897	0.672364	10.6737	96.3214	0.228183	12.0118	0.314405	0.219617	0.197839	0.268139
290800000	-46075	-26690.7	-19384.3	-26690.7	0.277807	0.00156828	0.904166	6.68317	69.9953	0.266355	11.6036	0.317096	0.213584	0.202145	0.267175
291000000	-45480.3	-26687.8	-18792.5	-26687.8	0.331152	0.00160536	0.732489	6.35658	67.8801	0.224748	3.39985	0.317914	0.210946	0.206226	0.264914
291200000	-44210.3	-26671.2	-17539.2	-26671.2	0.334269	0.00175648	0.620314	8.41844	83.5057	0.150776	3.27898	0.320235	0.212996	0.198551	0.268218
291400000	-45747.8	-26676.9	-19070.9	-26676.9	0.268525	0.0020219	1.2072	10.8671	103.251	0.163125	7.1244	0.313707	0.217338	0.201473	0.267482
291600000	-46175.8	-26685	-19490.8	-26685	0.321787	0.00202476	0.979946	17.977	94.2137	0.0986051	-1.28844	0.31899	0.219748	0.19674	0.264522
291800000	-44259.5	-26679.9	-17579.6	-26679.9	0.29307	0.00194438	1.78591	7.2449	98.9583	0.113859	2.89161	0.318638	0.217006	0.194589	0.269768
292000000	-45438.4	-26679.9	-18758.5	-26679.9	0.298321	0.00191452	1.37486	7.42805	99.7605	0.127452	5.32863	0.323304	0.213203	0.196324	0.267169
292200000	-28190.1	-26642.4	-1547.72	-26642.4	0.321359	0.00178036	0.288317	9.59168	105.86	0.0945798	-0.00510962	0.31655	0.213125	0.198072	0.272254
292400000	-39426	-26643.8	-12782.2	-26643.8	0.295133	0.00186729	0.431474	9.99411	125.099	0.118837	7.73518	0.320896	0.218443	0.195235	0.265426
292600000	-45513	-26670.4	-18842.6	-26670.4	0.289094	0.00191227	1.27926	7.7566	121.785	0.0887251	3.18144	0.322895	0.213521	0.196394	0.26719
292800000	-45853.2	-26654.1	-19199	-26654.1	0.268819	0.00328145	0.997738	8.6451	156.097	0.0744626	8.84616	0.3132	0.219687	0.19297	0.274143
293000000	-44531	-26667.7	-17863.3	-26667.7	0.294962	0.00255306	1.77027	5.60338	157.081	0.0616375	-0.227841	0.322874	0.208837	0.197356	0.270933
293200000	-40105	-26680.6	-13424.4	-26680.6	0.260087	0.00202491	3.51499	8.48761	121.347	0.146414	13.3718	0.322221	0.21648	0.198005	0.263294
293400000	-41586.5	-26676.5	-14910.1	-26676.5	0.303363	0.00220094	2.83685	7.31967	135.933	0.0937798	5.28583	0.313561	0.213568	0.196801	0.27607
293600000	-45529.6	-26662.4	-18867.2	-26662.4	0.29217	0.00320078	1.19741	10.2095	152.746	0.065611	4.11639	0.3221	0.215611	0.200319	0.261969
293800000	-45634.4	-26676.2	-18958.2	-26676.2	0.309268	0.00164763	1.19053	12.9951	105.97	0.13955	6.06598	0.322215	0.211337	0.198833	0.267616
294000000	-45936.9	-26669.1	-19267.9	-26669.1	0.310753	0.00246862	1.04113	10.7984	113.937	0.119553	6.25899	0.316506	0.213171	0.197222	0.273102
294200000	-44341.1	-26660.5	-17680.6	-26660.5	0.269412	0.00278172	0.659912	7.29992	98.1238	0.172229	13.02	0.31786	0.214116	0.19486	0.273165
294400000	-44950.1	-26664.7	-18285.4	-26664.7	0.280062	0.00233907	1.56805	6.28582	115.996	0.154668	12.5739	0.317607	0.214577	0.200984	0.266832
294600000	-45783.3	-26658.7	-19124.6	-26658.7	0.311744	0.00236152	0.86233	11.6349	163.839	0.0455486	0.472776	0.317164	0.213898	0.199207	0.26973
294800000	-43385.6	-26681.5	-16704.1	-26681.5	0.302348	0.00213288	2.19382	6.9672	124.028	0.0809883	2.19508	0.317395	0.214352	0.196579	0.271675
295000000	-38389.8	-26690.9	-11698.9	-26690.9	0.313541	0.00196448	4.18514	5.77713	125.174	0.0798461	4.0897	0.314376	0.21438	0.203996	0.267248
295200000	-45716.1	-26668.9	-19047.2	-26668.9	0.264798	0.00236608	1.24047	11.7474	124.888	0.129616	12.3371	0.317224	0.213553	0.201264	0.267959
295400000	-46181.7	-26679.6	-19502.1	-26679.6	0.272695	0.00184	1.05966	5.66231	103.28	0.22531	13.7021	0.321864	0.209056	0.19618	0.272899
295600000	-45936.5	-26665.6	-19271	-26665.6	0.317991	0.00173411	0.799488	10.4265	106.532	0.108148	2.93953	0.314596	0.217882	0.198715	0.268806
295800000	-42544.3	-26682	-15862.2	-26682	0.271076	0.00225899	2.42912	6.79594	118.631	0.108072	8.19452	0.327468	0.207237	0.197637	0.267658
296000000	-45871.8	-26664.9	-19206.9	-26664.9	0.292129	0.00210164	1.1066	13.8327	142.573	0.0701517	0.923082	0.316536	0.21407	0.198977	0.270417
296200000	-42848.3	-26671	-16177.3	-26671	0.316725	0.00233462	2.31665	7.04798	153.504	0.0509578	0.1385	0.325412	0.213485	0.196709	0.264394
296400000	-45839.7	-26660.3	-19179.4	-26660.3	0.298618	0.00229025	1.2558	5.99096	138.818	0.07156	2.04358	0.31448	0.213082	0.20644	0.265997
296600000	-44753.8	-26634.7	-18119.1	-26634.7	0.278944	0.00275973	0.663856	14.305	143.205	0.0603614	1.66205	0.32136	0.212418	0.198342	0.26788
296800000	-45736.8	-26653.4	-19083.3	-26653.4	0.275602	0.00306557	0.832491	21.6872	162.639	0.0619809	4.76655	0.317956	0.217717	0.1982	0.266127
297000000	-45377.8	-26668.8	-18709	-26668.8	0.29273	0.00233468	1.39962	16.0119	143.009	0.0768881	3.95158	0.320989	0.215311	0.194573	0.269126
297200000	-41175	-26649.1	-14525.9	-26649.1	0.293022	0.00208462	0.467312	10.0361	122.623	0.104995	5.88026	0.321616	0.216229	0.197334	0.264821
297400000	-45390.9	-26640	-18751	-26640	0.276893	0.00321812	0.766876	6.41083	160.297	0.0457936	-1.04674	0.316865	0.218504	0.196493	0.268138
297600000	-45667.4	-26672.1	-18995.3	-26672.1	0.281865	0.00247814	1.32795	5.88751	138.171	0.084481	6.95194	0.320078	0.214362	0.193156	0.272403
297800000	-45845.4	-26651.1	-19194.2	-26651.1	0.274947	0.00343341	0.839558	8.69899	180.216	0.0387646	-1.39592	0.315946	0.220689	0.196793	0.266572
298000000	-43062.4	-26654.3	-16408.2	-26654.3	0.283597	0.00288713	0.557497	16.9521	170.833	0.0514862	2.00964	0.319276	0.21086	0.198722	0.271142
298200000	-45560.1	-26667.1	-18893	-26667.1	0.289019	0.00291029	1.20583	7.88207	129.279	0.0797172	5.31063	0.320879	0.214729	0.19692	0.267472
298400000	-45930.1	-26667.6	-19262.5	-26667.6	0.2915	0.00167168	0.983418	7.44636	143.978	0.0600045	-3.58238	0.32301	0.214902	0.198537	0.263552
298600000	-37749.5	-26677.7	-11071.8	-26677.7	0.257775	0.00380354	4.64841	5.26591	162.78	0.0792169	11.4757	0.318544	0.213626	0.200067	0.267763
298800000	-44336.7	-26669.3	-17667.4	-26669.3	0.291257	0.00252108	1.79925	10.4087	131.477	0.0811141	2.40841	0.315969	0.212027	0.201503	0.270501
299000000	-44480.8	-26677.7	-17803.1	-26677.7	0.277387	0.00231265	1.66731	12.5081	118.362	0.141581	6.79352	0.323556	0.212925	0.19692	0.266599
299200000	-46121.3	-26670.7	-19450.6	-26670.7	0.266556	0.00158112	1.0881	8.14031	104.747	0.148347	8.58245	0.324309	0.211489	0.197332	0.266869
299400000	-45839.4	-26683.2	-19156.2	-26683.2	0.358003	0.0019408	1.07249	4.98997	119.814	0.0884558	0.622464	0.318432	0.211222	0.199023	0.271322
299600000	-39666.9	-26672.4	-12994.5	-26672.4	0.273434	0.00211895	3.76521	5.85304	139.412	0.0738925	3.23339	0.318567	0.216717	0.199738	0.264979
299800000	-45613.7	-26664.9	-18948.8	-26664.9	0.282656	0.00231021	0.836449	6.99049	124.754	0.0916358	7.48392	0.319652	0.219704	0.190794	0.269849
300000000	-8798.15	-26616.4	17818.2	-26616.4	0.319244	0.00168471	0.198404	6.1691	117.17	0.0843125	2.77018	0.32152	0.21431	0.199173	0.264997
300200000	-23700.5	-26636.9	2936.33	-26636.9	0.277768	0.00212571	0.257182	8.63598	121.176	0.105459	8.24733	0.322589	0.212879	0.196079	0.268452
300400000	30418.1	-26585.5	57003.6	-26585.5	0.277117	0.00214286	0.126233	6.27588	127.359	0.091263	8.19549	0.322419	0.21202	0.192668	0.272893
300600000	-11272.8	-26627.6	15354.9	-26627.6	0.291049	0.00177582	0.205129	11.9258	105.438	0.151499	6.88713	0.322208	0.215646	0.19836	0.263786
300800000	-35694.1	-26648.8	-9045.33	-26648.8	0.331017	0.00142099	0.359643	8.81686	75.6351	0.265874	8.66234	0.315546	0.21727	0.198686	0.268498
301000000	-45725.3	-26686.3	-19039	-26686.3	0.286003	0.00230273	0.790512	6.38095	94.844	0.146097	8.15332	0.319667	0.210455	0.20306	0.266819
301200000	-45551.2	-26706.2	-18845.1	-26706.2	0.30909	0.0014901	1.33773	5.28343	86.4556	0.135847	6.19877	0.315324	0.210598	0.200746	0.273331
301400000	-42533.9	-26711.4	-15822.5	-26711.4	0.637642	0.000935521	0.50388	26.0598	39.8814	0.215342	-1.6065	0.317193	0.214171	0.200679	0.267957
301600000	-44879.8	-26670.6	-18209.2	-26670.6	0.313128	0.00143508	0.650418	9.53127	70.003	0.215345	4.44545	0.316125	0.214024	0.202027	0.267824
301800000	-43070.2	-26676	-16394.3	-26676	0.308076	0.00150689	0.532615	5.9505	86.7423	0.171492	3.13553	0.324524	0.214791	0.194729	0.265956
302000000	-16997.3	-26603.4	9606.13	-26603.4	0.27783	0.00204303	0.220696	10.6242	128.542	0.0772408	5.11348	0.322159	0.214486	0.195873	0.267483
302200000	-36565.9	-26642.3	-9923.63	-26642.3	0.276998	0.00310206	0.370478	7.52183	133.543	0.0932194	6.56628	0.321169	0.21065	0.196484	0.271696
302400000	-45794.6	-26649.3	-19145.3	-26649.3	0.271402	0.00269958	0.920966	11.8871	126.391	0.0908097	6.04062	0.321794	0.214896	0.196172	0.267138
302600000	-45041.2	-26677.9	-18363.3	-26677.9	0.286633	0.00216598	0.701096	6.51477	139.554	0.0848191	4.12384	0.318478	0.214218	0.196331	0.270973
302800000	-44992.8	-26654.5	-18338.3	-26654.5	0.289848	0.00273596	0.686324	12.0363	153.922	0.0610297	1.92275	0.317656	0.214596	0.199734	0.268014
303000000	-45707.7	-26679.6	-19028.1	-26679.6	0.321064	0.00170165	1.38527	12.2463	108.233	0.114611	2.40769	0.312842	0.210783	0.203421	0.272954
303200000	-44890.6	-26686.6	-18204	-26686.6	0.285196	0.00214996	1.52601	7.33933	137.202	0.0966517	9.23805	0.315988	0.219884	0.201529	0.262598
303400000	-43213.2	-26674.2	-16539	-26674.2	0.318244	0.00265397	2.30933	7.17468	133.533	0.0776001	2.74864	0.318062	0.215881	0.197914	0.268143
303600000	-41424	-26679.6	-14744.4	-26679.6	0.273898	0.00245986	2.96439	9.61756	153.554	0.0588034	0.975347	0.318975	0.212804	0.198013	0.270209
303800000	-45971.7	-26662.1	-19309.6	-26662.1	0.283399	0.0028706	0.907113	13.0954	157.153	0.0536239	1.89952	0.317529	0.219886	0.196467	0.266118
304000000	-45577.3	-26678.2	-18899.1	-26678.2	0.362458	0.0022651	0.823791	11.4707	115.562	0.08911	-2.0284	0.319454	0.20983	0.195773	0.274944
304200000	-45661.1	-26678.4	-18982.7	-26678.4	0.281241	0.00243658	1.25969	5.25189	100.939	0.129635	5.29959	0.318927	0.213476	0.204975	0.262622
304400000	-46174.6	-26676.6	-19498.1	-26676.6	0.299645	0.00193242	0.936989	6.33008	110.082	0.108847	5.24352	0.316171	0.209584	0.200679	0.273566
304600000	-45058.4	-26678.2	-18380.2	-26678.2	0.326297	0.00186555	1.58432	13.358	107.421	0.0982162	2.83568	0.319115	0.209509	0.202004	0.269371
304800000	-43250.6	-26672.7	-16577.8	-26672.7	0.287788	0.00267651	2.12077	7.80994	150.232	0.0600336	4.87712	0.323202	0.211421	0.201161	0.264216
305000000	-42771.2	-26676.5	-16094.7	-26676.5	0.314045	0.00216865	2.38221	9.328	141.316	0.0704028	1.49464	0.324746	0.211018	0.194456	0.269779
305200000	-45845.5	-26651.4	-19194.1	-26651.4	0.268016	0.00267541	1.02183	8.054	171.788	0.0473732	4.47174	0.318801	0.213725	0.196642	0.270832
305400000	-43899.3	-26679.3	-17220	-26679.3	0.288533	0.00298078	1.97452	8.33988	147.219	0.0833251	2.14814	0.325815	0.219327	0.192519	0.262339
305600000	-45801.7	-26662.1	-19139.6	-26662.1	0.285677	0.00219398	1.10022	12.4344	163.294	0.0478332	-0.490063	0.324008	0.21216	0.198649	0.265183
305800000	-45382.3	-26648.7	-18733.6	-26648.7	0.292288	0.00206561	0.734974	12.0723	148.816	0.0496126	-1.21984	0.322653	0.216618	0.190521	0.270208
306000000	-41628.3	-26629.5	-14998.8	-26629.5	0.264852	0.00283113	0.48736	14.5333	164.936	0.0712158	8.7491	0.320146	0.209959	0.2013	0.268595
306200000	-40702	-26652.6	-14049.4	-26652.6	0.281047	0.00258102	0.467712	7.65281	140.07	0.0771494	4.48783	0.318152	0.21714	0.201819	0.262889
306400000	-34967.2	-26622.8	-8344.43	-26622.8	0.264254	0.00334648	0.365096	8.19128	156.24	0.0509457	8.2383	0.314632	0.21272	0.199361	0.273287
306600000	-45581.2	-26651.3	-18929.9	-26651.3	0.281126	0.00286678	0.742798	8.78773	155.059	0.0689371	6.26809	0.314884	0.213817	0.199673	0.271626
306800000	-21150.1	-26657.5	5507.34	-26657.5	0.322187	0.00182087	0.243626	8.2519	113.817	0.0808063	1.04708	0.317991	0.214647	0.195254	0.272109
307000000	-41452	-26668.4	-14783.6	-26668.4	0.347296	0.00151191	0.479857	5.99766	88.508	0.156784	3.43718	0.308822	0.216888	0.199648	0.274642
307200000	-43249.7	-26657.8	-16591.9	-26657.8	0.276261	0.00274853	0.563738	6.75375	128.843	0.0933402	7.78444	0.324189	0.215293	0.192097	0.268421
307400000	-43338.9	-26644.4	-16694.5	-26644.4	0.335568	0.00250504	0.556169	5.74725	149.283	0.0639296	-0.278446	0.311266	0.213813	0.199003	0.275918
307600000	-44602	-26666.4	-17935.7	-26666.4	0.271691	0.00292701	1.72801	7.93574	163.95	0.0766655	6.78292	0.324602	0.213956	0.19484	0.266602
307800000	-43058.4	-26679.8	-16378.5	-26679.8	0.273883	0.00354453	2.26572	4.72548	149.191	0.0686788	5.88227	0.322695	0.212012	0.196889	0.268405
308000000	-45446.9	-26686.8	-18760.1	-26686.8	0.34543	0.0018209	1.39402	8.61989	126.841	0.095312	-0.0186968	0.316968	0.213179	0.20079	0.269062
308200000	-45099.8	-26668.7	-18431.1	-26668.7	0.28352	0.00202076	1.45973	11.4901	133.77	0.0784644	1.9194	0.317737	0.219239	0.196704	0.266319
308400000	-40301.8	-26639.8	-13662	-26639.8	0.316288	0.00239031	0.449889	9.93709	128.305	0.115277	4.43509	0.319594	0.214475	0.196532	0.269399
308600000	-46049.6	-26669.3	-19380.3	-26669.3	0.287628	0.00198706	1.00804	7.55004	105.623	0.115933	0.495381	0.318229	0.219132	0.198141	0.264498
308800000	-46101.1	-26669.3	-19431.7	-26669.3	0.269715	0.00243722	0.973501	6.95101	120.565	0.129281	10.4209	0.319358	0.217395	0.196787	0.266459
309000000	-45410.9	-26663.7	-18747.2	-26663.7	0.324087	0.00223973	0.777689	9.40119	114.081	0.111609	2.59307	0.323965	0.215625	0.193219	0.267192
309200000	-43398.9	-26686.4	-16712.4	-26686.4	0.292578	0.00225639	2.16304	8.17382	113.187	0.108252	7.10829	0.315029	0.218241	0.198205	0.268525
309400000	-42039.5	-26682.7	-15356.8	-26682.7	0.259464	0.00219466	2.67694	9.7885	109.866	0.173806	12.7191	0.314894	0.215553	0.19865	0.270903
309600000	-45309.1	-26643.7	-18665.4	-26643.7	0.26809	0.00254336	0.73503	18.7624	145.178	0.0714885	4.27392	0.323384	0.215533	0.192411	0.268673
309800000	-43246.6	-26659.7	-16586.9	-26659.7	0.265624	0.00252826	2.17249	6.73148	178.41	0.0478519	5.75401	0.319525	0.213155	0.199137	0.268184
310000000	-45431.5	-26649.2	-18782.3	-26649.2	0.295873	0.00296631	1.33662	6.94344	174.861	0.0434108	5.05157	0.317939	0.21123	0.199864	0.270967
310200000	-44446	-26663.5	-17782.5	-26663.5	0.259982	0.0026353	1.79494	6.84784	151.677	0.0720994	7.67128	0.317197	0.21162	0.197693	0.273489
310400000	-45919.3	-26671.8	-19247.5	-26671.8	0.274563	0.00230707	1.22234	13.3582	151.579	0.077836	8.01594	0.317649	0.215359	0.202174	0.264818
310600000	-45745.6	-26679.7	-19065.9	-26679.7	0.330683	0.00178569	1.24362	8.71085	95.5699	0.151677	2.99431	0.326388	0.217053	0.191068	0.26549
310800000	-46093.2	-26680.5	-19412.7	-26680.5	0.327567	0.00183988	0.794339	10.6551	82.7382	0.132927	2.21505	0.315149	0.219849	0.196152	0.26885
311000000	-46153.8	-26686.5	-19467.4	-26686.5	0.314567	0.00242272	0.956944	7.76503	98.599	0.110323	1.59446	0.317489	0.215896	0.198145	0.268471
311200000	-45852.8	-26669.3	-19183.5	-26669.3	0.294848	0.00225134	0.880081	6.6683	111.935	0.0999649	6.6412	0.320479	0.213673	0.199245	0.266603
311400000	-45371.5	-26661.7	-18709.8	-26661.7	0.29511	0.00271226	0.716687	9.23211	148.833	0.0608576	3.60829	0.323109	0.211418	0.195831	0.269642
311600000	-44661.5	-26650	-18011.5	-26650	0.271918	0.00225715	0.652151	8.89288	129.99	0.0862275	10.0032	0.322979	0.210724	0.194424	0.271873
311800000	-45672.5	-26672.3	-19000.2	-26672.3	0.270052	0.0034106	1.32952	4.17337	149.243	0.0668731	6.0256	0.318749	0.216209	0.196015	0.269027
312000000	-45932.3	-26663.8	-19268.5	-26663.8	0.295033	0.0021689	0.94897	7.30965	127.054	0.0811832	3.50297	0.320734	0.21265	0.199389	0.267227
312200000	-42092.2	-26680.7	-15411.5	-26680.7	0.288151	0.00176045	2.68494	12.04	111.44	0.0954402	2.4229	0.320822	0.209312	0.200858	0.269009
312400000	-39276.1	-26696.4	-12579.7	-26696.4	0.301962	0.00209273	3.91714	7.96282	99.731	0.133177	3.97407	0.323311	0.211834	0.198721	0.266134
312600000	-38852.4	-26673.7	-12178.7	-26673.7	0.25948	0.00270725	4.22177	6.0826	136.409	0.13946	14.0795	0.317936	0.208736	0.203316	0.270013
312800000	-45733.4	-26665.4	-19068	-26665.4	0.273395	0.00237444	0.944914	6.48908	142.753	0.0628421	4.47768	0.323198	0.213013	0.193978	0.269812
313000000	-43142.8	-26670.6	-16472.1	-26670.6	0.265797	0.00206231	2.21374	7.73876	124.357	0.163859	12.6887	0.318403	0.211974	0.198704	0.27092
313200000	-44880.8	-26694.3	-18186.5	-26694.3	0.351313	0.00186161	1.56978	9.02265	130.706	0.0882416	3.77068	0.315869	0.217059	0.197432	0.26964
313400000	-37919.4	-26683.7	-11235.7	-26683.7	0.286168	0.00187054	4.69304	7.82526	109.883	0.0941177	2.52899	0.319409	0.21457	0.201075	0.264946
313600000	-43361.9	-26676.5	-16685.4	-26676.5	0.302696	0.00227273	2.12458	20.1717	127.207	0.111378	6.14036	0.320148	0.216509	0.197783	0.26556
313800000	-45901.6	-26694.7	-19206.9	-26694.7	0.317163	0.00215972	1.19251	5.36444	110.5	0.0991847	2.5581	0.325255	0.215606	0.196311	0.262828
314000000	-45433.5	-26655.8	-18777.8	-26655.8	0.281042	0.0032106	0.738318	10.9005	161.209	0.0584512	2.73288	0.319903	0.211562	0.196862	0.271674
314200000	21610.5	-26615.1	48225.6	-26615.1	0.283934	0.00213578	0.137815	11.3037	127.411	0.0649729	3.97574	0.318025	0.219578	0.198674	0.263723
314400000	2955.45	-26609.4	29564.8	-26609.4	0.30955	0.00227827	0.165985	7.8844	171.981	0.045946	-1.40857	0.31871	0.21829	0.197091	0.26591
314600000	-8370.21	-26622.6	18252.4	-26622.6	0.30271	0.00221759	0.195134	7.35633	131.971	0.0941141	3.86887	0.319491	0.211036	0.196679	0.272794
314800000	-43271.2	-26662.7	-16608.5	-26662.7	0.302717	0.00127299	0.572898	8.02289	88.0534	0.122287	1.12961	0.316403	0.216626	0.199256	0.267714
315000000	-15851.1	-26625.1	10774.1	-26625.1	0.298753	0.00198714	0.220381	11.0521	94.802	0.122272	3.56758	0.31759	0.213893	0.196068	0.272449
315200000	-45438.4	-26655.6	-18782.8	-26655.6	0.276718	0.00220922	0.799871	8.64077	117.447	0.113105	3.03449	0.320351	0.212893	0.196035	0.270721
315400000	-45803.1	-26662.8	-19140.3	-26662.8	0.268517	0.00189151	1.24297	16.3291	114.095	0.122507	9.75809	0.316173	0.213895	0.192383	0.277549
315600000	-45291	-26679.6	-18611.4	-26679.6	0.275118	0.00173171	1.46056	6.58236	128.81	0.110575	10.6204	0.317004	0.215087	0.199788	0.26812
315800000	-44127.5	-26690	-17437.5	-26690	0.328692	0.00205788	1.9189	8.00482	89.6451	0.15331	4.91486	0.318836	0.214558	0.1986	0.268005
316000000	-45824.6	-26659.3	-19165.2	-26659.3	0.288582	0.00251965	0.862411	15.8928	128.316	0.0750113	2.85398	0.319891	0.213645	0.197597	0.268866
316200000	-43024.4	-26633.9	-16390.4	-26633.9	0.256965	0.0023642	0.557233	9.02545	123.635	0.117166	10.0123	0.318439	0.215049	0.196531	0.269981
316400000	-38904.7	-26674.5	-12230.2	-26674.5	0.280302	0.00208304	0.422727	10.246	93.8758	0.142618	7.53785	0.318969	0.213255	0.194644	0.273132
